,0,1,2,3,4,Clinda1,Clinda2,Clinda3,Clinda4,Clinda5,Clinda6,Clinda8,Levo1,Levo2,Levo3,Levo4,Levo5,Levo6,Levo7,Levo8,NoAbx1,NoAbx2,NoAbx3,NoAbx4,NoAbx5,NoAbx6,NoAbx7,NoAbx8,Piptazo1,Piptazo2,Piptazo3,Piptazo4,Piptazo5,Piptazo6,Piptazo7,Piptazo8,PTClinda1,PTClinda2,PTClinda3,PTClinda4,PTClinda5,PTClinda6,PTClinda7,PTClinda8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d__Bacteria;p__Firmicutes;c__Clostridia;o__Monoglobales;f__Monoglobaceae,d__Bacteria,p__Firmicutes,c__Clostridia,o__Monoglobales,f__Monoglobaceae,0,0,0,0,0,0,0,0,0,0,0.000286082,0,0,0,0,0.00123435,0,0,0,0.000454614,0,0,0.001219017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae,d__Bacteria,p__Firmicutes,c__Clostridia,o__Oscillospirales,f__Butyricicoccaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000463121,0,0,0,0,0,0,0,0,0,0,0,0.000531667,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Anaerovoracaceae,d__Bacteria,p__Firmicutes,c__Clostridia,o__Peptostreptococcales-Tissierellales,f__Anaerovoracaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000438746,0.000751089,0.001767945,0,0,0.001219017,0,0,0,0,0,0,0,0,0,0.000362144,0,0,0,0,0,0.000895255
d__Bacteria;p__Firmicutes;c__Clostridia;o__Christensenellales;f__Christensenellaceae,d__Bacteria,p__Firmicutes,c__Clostridia,o__Christensenellales,f__Christensenellaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.87E-05,0,0,0,0,0,0.000947867,0,0,0,0,0,0.00086396,0,0,0.000301787,0,0,0,0,0,0.000746046
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__UCG-010,d__Bacteria,p__Firmicutes,c__Clostridia,o__Oscillospirales,f__UCG-010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000454614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae,d__Bacteria,p__Firmicutes,c__Bacilli,o__Erysipelotrichales,f__Erysipelatoclostridiaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000609508,0,0,0,0,0,0,0.000132917,0,0,0.001227265,0,0,0,0,0,0.004923903
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcales-Tissierellales,d__Bacteria,p__Firmicutes,c__Clostridia,o__Peptostreptococcales-Tissierellales,f__Peptostreptococcales-Tissierellales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001044464
d__Bacteria;p__Firmicutes;c__Clostridia;o__uncultured;f__uncultured,d__Bacteria,p__Firmicutes,c__Clostridia,o__uncultured,f__uncultured,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000151538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
